status,cert_num,url,company_num,name,address,location,valid_from,valid_to,scope,body,notes
active,URS 014360/B-0044,http://certyfikaty.kzr.inig.eu/public/certs/3257.pdf,1470/7999/DD/22,"Teplárna Loučovice, a.s.","Czech Republik, 382 76 Loučovice, Loučovice 313","Czech Republik, 382 76 Loučovice, Loučovice 313",2022-08-18,2023-08-17,Electicity  producer;Heat producer,United Registrar of Systems Polska Sp. z o.o.,
active,URS 014291/B-0043,http://certyfikaty.kzr.inig.eu/public/certs/3258.pdf,1239/7999/DD/21,Sušárna Loučovice s.r.o.,"Czech Republic (Czechia), 110-00 Praha 1, Vodičkova 791/41","1. Czech Republic (Czechia), 110-00 Praha 1, Vodičkova 791/41; 2. Czech Republic (Czechia), 38276 Loučovice, Loučovice 313",2022-08-18,2023-08-17,First gathering point of other wastes / residues with storage;Trading with storage,United Registrar of Systems Polska Sp. z o.o.,
active,DEKRA-710820015/2,http://certyfikaty.kzr.inig.eu/public/certs/3265.pdf,938/7999/DD/20,MAX-PLON Sp. z o. o.,"Polska, 87-140 Chełmża, Bielczyny 54","Polska, 87-140 Chełmża, Bielczyny 54",2022-08-18,2023-08-17,First  gathering point of crops without storage;Trading without storage,DEKRA Certification Sp. z o. o.,
expired,SGS/KZR/BIO/0151,http://certyfikaty.kzr.inig.eu/public/certs/3483.pdf,1325/7999/DD/22,FCC Śląsk Sp.z o.o.,"Polska, 41-800 Zabrze, Lecha 10","1. Polska, 41-800 Zabrze, Lecha 10; 2.  Polska, 41-800 Zabrze, Cmentarna 19 F",2022-08-17,2023-02-01,First gathering point of other wastes/residues including storage; Trading including storage; Solid fuel production (derived from biomass),SGS Polska Sp. z o. o.,Aktualizacja certyfikatu po zmianie nazwy spółki /Update of the certificate after a change in the name of the entity<br>
active,DEKRA-710822081,http://certyfikaty.kzr.inig.eu/public/certs/3253.pdf,877/7999/DD/19,"PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE ""SZUMIŁO"" SZUMIŁO MONIKA","Polska, 22-100 Chełm, Strupin Mały 67","Polska, 22-100 Chełm, Strupin Mały 67",2022-08-17,2023-08-16,First gathering point of crops with storage;Trading with storage;,DEKRA Certification Sp. z o. o.,Zawieszony od 14/10/22-17/10/22 |I Suspended from 14/10/22 -17/10/22
active,URS 015129/B-0042,http://certyfikaty.kzr.inig.eu/public/certs/3254.pdf,1630/7999/DD/22,Oskar Palus,"Polska, 32-566 Grojec, Jana III Sobieskiego 110","Polska, 32-566 Grojec, Jana III Sobieskiego 110",2022-08-17,2023-08-16,Point of origin;Solid fuel  production (derived from biomass),United Registrar of Systems Polska Sp. z o.o.,Zawieszony w dniu 14/10/22|| Suspended only 14/10/22
active,SGS/KZR/BIO/0225,http://certyfikaty.kzr.inig.eu/public/certs/3261.pdf,1647/7999/DD/22,KRZYSZTOF HEBEL Usługi Transportowe i Handel Odpadami z Drewna,"Polska, 83-342 Kamienica Królewska, Kaszubska 114","Polska, 83-342 Kamienica Królewska, Kaszubska 114",2022-08-17,2023-08-16,First gathering point of other wastes / residues without storage;,SGS Polska Sp. z o. o.,
active,KZR INiG CU - 889603,http://certyfikaty.kzr.inig.eu/public/certs/3247.pdf,1609/7999/DD/22,PRIME-B Sp. z o.o.,"Polska, 42-280 Częstochowa, Pastelowa 33","1. Polska, 42-280 Częstochowa, Pastelowa 33; 2. Polska, 42-200 Częstochowa, Bór 182",2022-08-16,2023-08-15,First gathering point of other wastes / residues with and without storage; Trading with and without storage;,Control Union Poland Sp. z o. o.,
active,DEKRA-710820014/2,http://certyfikaty.kzr.inig.eu/public/certs/3250.pdf,934/7999/DD/20,Młyn Dobrzyń Witold Żochowski,"Polska, 87-610 Dobrzyń Nad Wisłą, ul. Słowackiego 24","1. Polska, 87-610 Dobrzyń Nad Wisłą, ul. Słowackiego 24; 2. Polska, 87-610 Dobrzyń Nad Wisłą, Chalin 40A",2022-08-15,2023-08-14,First gathering point of crops with and without storage;Trading with and without storage;,DEKRA Certification Sp. z o. o.,
active,BVC/KZR/083/22,http://certyfikaty.kzr.inig.eu/public/certs/3245.pdf,937/7999/DD/20,Firma Handlowo-Zaopatrzeniowa Jakubiuk Jowita Jakubiuk,"Polska, 21-580 Wisznice, Polubicze Wiejskie Drugie 61","Polska, 21-580 Wisznice, Polubicze Wiejskie Drugie 61",2022-08-14,2023-08-13,First gathering point of crops with storage;Trading with storage;,Bureau Veritas Polska Sp. z o. o.,
active,BVC/KZR/085/22,http://certyfikaty.kzr.inig.eu/public/certs/3246.pdf,337/7999/DD/15,SKR Strzelce Krajeńskie Sp. z o.o,"Polska, 66-500 Strzelce Krajeńskie, ul. Księdza Stefana Wyszyńskiego 7","Polska, 66-500 Strzelce Krajeńskie, ul. Księdza Stefana Wyszyńskiego 7",2022-08-14,2023-08-13,First  gathering point of crops without storage;Trading without storage,Bureau Veritas Polska Sp. z o. o.,
active,BVC/KZR/080/22,http://certyfikaty.kzr.inig.eu/public/certs/3244.pdf,338/7999/DD/15,Spichlerz Jaskóły Sp. z o. o.,"Polska, 88-111 Rojewo, Wybranowo 18","Polska, 88-111 Rojewo, Wybranowo 18",2022-08-13,2023-08-12,First gathering point of crops with storage;,Bureau Veritas Polska Sp. z o. o.,
active,SGS/KZR/0296,http://certyfikaty.kzr.inig.eu/public/certs/3262.pdf,975/7999/DD/21,ADM International Sarl,"Switzerland, 1180 Rolle, Z.A. La Piece 3","1. Switzerland, 1180 Rolle, Z.A. La Piece 3; 2. Poland, 64-500 Szamotuly, UL. Boleslawa Chrobrego 29;",2022-08-13,2023-08-12,First gathering point of crops including storage;Trading with storage;Point of origin of waste/residues;Oil processing;,SGS Polska Sp. z o. o.,
active,SGS/KZR/0295,http://certyfikaty.kzr.inig.eu/public/certs/3236.pdf,550/7999/DD/16,ADM Czernin S.A.,"Polska, 64-500 Szamotuły, ul. Chrobrego 29","Polska, 64-500 Szamotuły, ul. Chrobrego 29",2022-08-12,2023-08-11,Trading  without storage;,SGS Polska Sp. z o. o.,
active,BVC/KZR/082/22,http://certyfikaty.kzr.inig.eu/public/certs/3240.pdf,967/7999/DD/21,Spółdzielnia Producentów Nipkowie,"Polska, 14-240 Susz, Nipkowie 18","Polska, 14-240 Susz, Nipkowie 18",2022-08-12,2023-08-11,First  gathering point of crops without storage;,Bureau Veritas Polska Sp. z o. o.,
active,URS 014677/B-0041,http://certyfikaty.kzr.inig.eu/public/certs/3243.pdf,1475/7999/DD/22,"Przedsiębiorstwo Wielobranżowe ""Komunalnik"" Sp. z o.o.","Polska, 21-500 Biała Podlaska, Aleja Jana Pawła II 33","Polska, 21-500 Biała Podlaska, Aleja Jana Pawła II 33",2022-08-12,2023-08-11,First gathering point of other wastes / residues with storage;Solid fuel production (derived from biomass);,United Registrar of Systems Polska Sp. z o.o.,
expired,BVC/KZR/025/22/1,http://certyfikaty.kzr.inig.eu/public/certs/3282.pdf,1178/7999/DD/21,Rafineria Gdańska Sp. z o.o.,"Polska, 80-718 Gdańsk, Elbląska 135","Polska, 80-718 Gdańsk, Elbląska 135",2022-08-12,2023-03-09,"Trading with and without storage;Biofuel production: liquid hydrocarbons, biopropane;Co-hydrogenation",Bureau Veritas Polska Sp. z o. o.,
active,SGS/KZR/0294,http://certyfikaty.kzr.inig.eu/public/certs/3235.pdf,551/7999/DD/16,ADM Malbork S.A.,"Polska, 64-500 Szamotuły, ul. Chrobrego 29","1. Polska, 64-500 Szamotuły, ul. Chrobrego 29; 2. Polska, 82-200 Malbork, ul. Daleka 110",2022-08-11,2023-08-10,Point of origin of waste/residues; Trading  without storage; Biofuel production;,SGS Polska Sp. z o. o.,
active,URS 013160-0016,http://certyfikaty.kzr.inig.eu/public/certs/3238.pdf,1646/7999/DD/22,Marcin Wrzyszcz Agromar,"Polska, 23-145 Wysokie, Łosień 90","Polska, 23-145 Wysokie, Łosień 90",2022-08-11,2023-08-10,First gathering point of crops with and without storage;,United Registrar of Systems Polska Sp. z o.o.,
active,URS 012678-0017,http://certyfikaty.kzr.inig.eu/public/certs/3239.pdf,1648/7999/DD/22,"Przetacki Andrzej Usługi transportowe, handel artykułami rolnymi","Polska, 09-130 Baboszewo, Sokolniki Stare 5","Polska, 09-130 Baboszewo, Sokolniki Stare 5",2022-08-11,2023-08-10,First gathering point of crops with and without storage;Trading with and without storage,United Registrar of Systems Polska Sp. z o.o.,
active,BVC/KZR/079/22,http://certyfikaty.kzr.inig.eu/public/certs/3234.pdf,819/7999/DD/18,"""Zboża Polskie"" Sp. z o.o.","Polska, 68-100 Żagań, ul. Piłsudskiego 23","1. Polska, 68-100 Żagań, ul. Piłsudskiego 23; 2. Polska, 68-100 Żagań, ul. Tartakowa 10",2022-08-10,2023-08-09,First gathering point of crops with and without storage;Trading with and without storage;,Bureau Veritas Polska Sp. z o. o.,
active,BVC/KZR/081/22,http://certyfikaty.kzr.inig.eu/public/certs/3228.pdf,882/7999/DD/19,Grupa Producentów Witrol Sp. z o. o.,"Polska, 87-214 Płużnica, Nowa Wieś Królewska 58","Polska, 87-214 Płużnica, Nowa Wieś Królewska 58",2022-08-09,2023-08-08,First  gathering point of crops without storage;,Bureau Veritas Polska Sp. z o. o.,
active,SGS/KZR/190,http://certyfikaty.kzr.inig.eu/public/certs/3233.pdf,554/7999/DD/16,Viterra Bodaczów Sp. z o.o.,"Polska, 80-280 Gdańsk, Cypriana Kamila Norwida 2","1. Polska, 80-280 Gdańsk, Cypriana Kamila Norwida 2; 2. Polska, 22-460 Szczebrzeszyn, Bodaczów",2022-08-09,2023-08-08,First gathering point of crops with storage;Trading with storage;Oil processing;,SGS Polska Sp. z o. o.,
active,BVC/KZR/075/22,http://certyfikaty.kzr.inig.eu/public/certs/3222.pdf,886/7999/DD/19,GTC AGRO Sp. z o. o.,"Polska, 03-199 Warszawa, ul. Modlińska 61","Polska, 03-199 Warszawa, ul. Modlińska 61",2022-08-08,2023-08-07,First  gathering point of crops without storage;Trading without storage,Bureau Veritas Polska Sp. z o. o.,
active,BVC/KZR/077/22,http://certyfikaty.kzr.inig.eu/public/certs/3229.pdf,692/7999/DD/17,Spółdzielcza Grupa Producentów Rolnych PLON w Reńskiej Wsi,"Polska, 48-314 Pakosławice, Reńska Wieś 44","Polska, 48-314 Pakosławice, Reńska Wieś 44",2022-08-08,2023-08-07,First  gathering point of crops without storage;Trading without storage,Bureau Veritas Polska Sp. z o. o.,
active,BVC/KZR/076/22,http://certyfikaty.kzr.inig.eu/public/certs/3230.pdf,691/7999/DD/17,Spółdzielcza Grupa Producentów Rolnych AGRO-STAROWICE w Starowicach,"Polska, 49-200 Grodków, Starowice Dolne 36","Polska, 49-200 Grodków, Starowice Dolne 36",2022-08-08,2023-08-07,First  gathering point of crops without storage;Trading without storage,Bureau Veritas Polska Sp. z o. o.,
